ID,Task Name,Duration,Start,Finish,Predecessors,Resource Names,Notes
1,项目启动和选题确认,2d,2026-04-16,2026-04-17,,项目负责人,确认题目为校车管理系统并确定三端课程原型范围
2,项目范围和计划编制,5d,2026-04-18,2026-04-22,1,项目负责人,编制 WBS 进度计划资源计划成本计划风险计划和甘特图
3,需求调研和角色分析,7d,2026-04-23,2026-04-29,2,需求分析人员,整理普通用户司机后台管理员三类用户需求
4,用例和业务规则建模,5d,2026-04-30,2026-05-04,3,需求分析人员,完成用例图活动图业务规则和验收标准
5,需求评审和需求基线,2d,2026-05-05,2026-05-06,4,"项目负责人,需求分析人员",形成需求基线和需求追踪矩阵
6,概要设计和架构选型,4d,2026-05-07,2026-05-10,5,开发人员,确定 Flutter 单工程多入口 Riverpod GoRouter Mock Repository 架构
7,UML 设计和核心流程设计,5d,2026-05-11,2026-05-15,6,开发人员,完成类图组件图顺序图和调度活动图
8,数据模型和接口设计,4d,2026-05-16,2026-05-19,7,开发人员,定义核心模型 Provider 接口和 Mock 数据仓库边界
9,普通用户端实现,7d,2026-05-20,2026-05-26,8,开发人员,实现预约查看取消支付信用通知
10,司机端实现,5d,2026-05-27,2026-05-31,8,开发人员,实现派车任务统计看板和 Mock 位置共享
11,后台车辆和司机管理实现,6d,2026-06-01,2026-06-06,8,开发人员,实现车辆 CRUD 司机 CRUD 和车辆绑定校验
12,调度监控和分析实现,6d,2026-06-07,2026-06-12,11,开发人员,实现人工调度 AI 辅助调度实时位置监控客户 ETA 和历史分析
13,支付信用通知和 UI 收口,4d,2026-06-13,2026-06-16,9,开发人员,补齐 Mock 支付信用扣分推送通知和响应式界面
14,自动化测试设计,2d,2026-06-17,2026-06-18,"9,10,12,13",测试人员,设计 Widget 测试和业务规则负向测试
15,测试执行和缺陷修复,3d,2026-06-19,2026-06-21,14,"测试人员,开发人员",执行 Flutter Test 手工测试并记录缺陷修复结果
16,配置管理和交付基线,1d,2026-06-22,2026-06-22,15,配置管理员,检查 Git 基线依赖锁定提交规范和交付清单
17,报告整理和工具证据汇总,3d,2026-06-22,2026-06-24,15,项目负责人,整理最终项目报告 UML 证据课程工具标识和 README 入口
18,最终检查和提交,1d,2026-06-25,2026-06-25,"16,17",项目负责人,执行最终检查命令并归档提交材料
